full_extraction,product_extraction,opensearch_save,mongo_product_save,mongo_receipt_update
4439.000606536865,4258.633375167847,64.98408317565918,82.12518692016602,33.08987617492676
3969.090700149536,3773.101568222046,78.7200927734375,72.47400283813477,42.98543930053711
4679.82029914856,4504.32562828064,63.53044509887695,79.80775833129883,31.798124313354492
4088.2368087768555,3900.1405239105225,69.40674781799316,69.29516792297363,48.93612861633301
3798.678159713745,3640.3088569641113,59.19480323791504,65.77467918395996,33.121347427368164
3798.678159713745,3640.3088569641113,59.19480323791504,65.77467918395996,33.121347427368164
6430.72509765625,5454.206228256226,862.2298240661621,70.55425643920898,43.51639747619629
4345.888137817383,4132.651805877686,108.81471633911133,75.9272575378418,27.224302291870117
5303.753137588501,5018.0792808532715,178.01761627197266,68.35222244262695,39.05224800109863
5073.678731918335,4851.268768310547,120.15056610107422,69.5347785949707,32.282114028930664
3619.029998779297,3603.142023086548,0,0,0
3989.4015789031982,3792.1793460845947,72.0980167388916,82.34024047851562,42.24896430969238
6548.706293106079,6312.627792358398,78.1402587890625,113.31534385681152,44.29221153259277
4079.1642665863037,3873.3980655670166,125.84948539733887,45.83001136779785,33.101558685302734
4245.455265045166,4039.180040359497,87.39948272705078,79.23531532287598,39.39366340637207
3078.8187980651855,3063.3797645568848,0,0,0
3458.993911743164,3445.3346729278564,0,0,0
3625.3390312194824,3607.8333854675293,0,0,0
3404.4227600097656,3385.204792022705,0,0,0
4881.256818771362,4643.923282623291,107.11169242858887,92.11325645446777,37.83464431762695
6656.072616577148,6388.963460922241,101.57155990600586,115.62776565551758,49.6671199798584
5353.925943374634,5141.4337158203125,85.31546592712402,80.77716827392578,45.92084884643555
6340.553045272827,6078.433275222778,124.33624267578125,95.91126441955566,40.56501388549805
3895.4989910125732,3716.332197189331,65.11807441711426,77.84509658813477,34.55686569213867
4707.733631134033,4509.698152542114,68.359375,90.86155891418457,36.225318908691406
5891.240835189819,5621.222972869873,91.83025360107422,116.0116195678711,55.99403381347656
6004.140853881836,5806.804180145264,69.68116760253906,83.92047882080078,43.396949768066406
5248.199462890625,5050.986766815186,81.22777938842773,76.51996612548828,38.800954818725586
3410.98952293396,3391.9215202331543,0,0,0
4081.401586532593,3911.914348602295,57.39617347717285,74.07379150390625,37.46986389160156
